X,Y,tld,domain,lat,lon
-0.089135,51.527279,london,cleaningsupplies,51.527279,-0.089135
-0.089135,51.527279,london,aaas,51.527279,-0.089135
-0.089135,51.527279,london,peterchilds,51.527279,-0.089135
-0.089135,51.527279,london,kingof,51.527279,-0.089135
-0.089135,51.527279,london,sonos,51.527279,-0.089135
-0.089135,51.527279,london,neighbours,51.527279,-0.089135
-0.089135,51.527279,london,longtermlet,51.527279,-0.089135
-0.089135,51.527279,london,tvaerialinstallation,51.527279,-0.089135
-0.089135,51.527279,london,clearenvironment,51.527279,-0.089135
-0.089135,51.527279,london,collaborate,51.527279,-0.089135
-0.089135,51.527279,london,xeroaccountant,51.527279,-0.089135
-0.089135,51.527279,london,londonaccountants,51.527279,-0.089135
-0.089135,51.527279,london,aerialinstallation,51.527279,-0.089135
-0.089135,51.527279,london,skydigital,51.527279,-0.089135
-0.089135,51.527279,london,londonaccountant,51.527279,-0.089135
-0.089135,51.527279,london,onlineaccountants,51.527279,-0.089135
-0.089135,51.527279,london,tvaerials,51.527279,-0.089135
-0.089135,51.527279,london,ultimatemarketersummit,51.527279,-0.089135
-0.089135,51.527279,london,londonhandyman247,51.527279,-0.089135
-0.089135,51.527279,london,silverfalcon,51.527279,-0.089135
-0.089135,51.527279,london,analyticsasaservice,51.527279,-0.089135
-0.089135,51.527279,london,mitie,51.527279,-0.089135
-0.089135,51.527279,london,expats,51.527279,-0.089135
-0.089135,51.527279,london,skymultiroom,51.527279,-0.089135
-0.089135,51.527279,london,aerialforce,51.527279,-0.089135
-0.089135,51.527279,london,workspaces,51.527279,-0.089135
-0.089135,51.527279,london,cooltshirts,51.527279,-0.089135
-0.089135,51.527279,london,aerialtec,51.527279,-0.089135
-0.089135,51.527279,london,newsroom,51.527279,-0.089135
-0.089135,51.527279,london,heating,51.527279,-0.089135
-0.089135,51.527279,london,fab10,51.527279,-0.089135
-0.089135,51.527279,london,mandj,51.527279,-0.089135
-0.089135,51.527279,london,wanted,51.527279,-0.089135
-0.089135,51.527279,london,synergygroup,51.527279,-0.089135
